,time,lat,lon,eletrico,n_particulas,d_particulas,ldsa
830,1334849040.0,47.370557,8.532103999999999,5,9651,46.1,23.0
883,1334849340.0,47.370129,8.539211,5,4380,41.5,9.3
1476,1334852400.0,47.378996,8.538986999999999,5,6289,31.2,9.7
1494,1334852460.0,47.377475,8.541704,5,18366,36.1,33.3
1520,1334852640.0,47.376088,8.539644000000001,5,13954,33.7,23.5
2036,1334855220.0,47.377466999999996,8.54172,5,11011,37.6,20.9
2679,1334858580.0,47.370907,8.538945,5,4111,39.7,8.3
2737,1334858880.0,47.36473,8.530627,5,4938,38.3,9.6
3002,1334860320.0,47.361525,8.525892,5,5601,43.8,12.6
3061,1334860620.0,47.367926000000004,8.535963,5,68803,13.6,42.2
3064,1334860620.0,47.368315,8.536912,5,27964,16.7,21.7
3113,1334860860.0,47.373603,8.538314,5,8319,35.2,14.7
3828,1334864220.0,47.377478,8.541699000000001,5,6404,36.8,11.9
3833,1334864280.0,47.377461,8.541678,5,7547,40.5,15.6
4246,1334866440.0,47.367138,8.53389,5,3082,41.7,6.6
4848,1334869500.0,47.379992,8.537545,5,10683,25.4,13.2
7466,1334902620.0,47.367251,8.534008,5,5464,35.1,9.6
7532,1334902920.0,47.377018,8.540725,5,12916,33.9,21.9
8065,1334905680.0,47.378528,8.540763,5,7781,37.8,14.9
8448,1334907720.0,47.36275,8.527241,5,15446,42.7,33.8
10109,1334916360.0,47.379051000000004,8.538784,5,8673,31.7,13.6
10565,1334918700.0,47.366398,8.532722999999999,5,19618,29.1,28.1
10614,1334918940.0,47.370821,8.538896000000001,5,6175,32.7,10.1
10681,1334919300.0,47.377179,8.541661,5,6236,47.7,15.4
12230,1334927280.0,47.364828,8.53098,5,12962,37.5,24.6
12327,1334927760.0,47.376651,8.539702,5,9101,31.9,14.4
12874,1334930580.0,47.37854,8.540777,5,21426,37.1,40.2
12936,1334930880.0,47.374046,8.538459,5,7133,38.9,14.1
12940,1334930880.0,47.373467,8.538357000000001,5,5132,38.7,10.1
12952,1334931000.0,47.371646000000005,8.538486,5,5510,44.0,12.5
